id,parent_id,topology__cycle,arch_dev__pot_flowering_date,arch_dev__pot_nb_fruit,topology__ancestor_is_apical,arch_dev_rep__nature,topology__ancestor_nature,arch_dev__nb_inflos,topology__is_apical,topology__appearance_month
0,NA,1,NA,0,NA,0,NA,0,1,NA
1,0,1,NA,0,1,0,0,0,1,1
2,1,1,NA,0,1,0,0,0,1,1
3,2,1,NA,0,1,0,0,0,1,1
4,3,1,NA,0,1,0,0,0,1,1
5,4,1,NA,0,1,0,0,0,1,1
6,5,1,NA,0,1,0,0,0,1,1
7,6,1,NA,0,1,0,0,0,1,1
8,7,1,NA,0,1,0,0,0,1,1
9,8,1,NA,0,1,0,0,0,1,1
10,9,1,NA,0,1,0,0,0,1,1
11,10,1,NA,0,1,0,0,0,1,1
12,11,1,NA,0,1,0,0,0,1,1
13,12,1,NA,0,1,0,0,0,1,1
14,13,1,NA,0,1,0,0,0,1,1
15,14,1,NA,0,1,0,0,0,1,1
16,15,1,NA,0,1,0,0,0,1,1
17,16,1,NA,0,1,0,0,0,1,1
18,17,1,NA,0,1,0,0,0,1,1
19,18,1,NA,0,1,0,0,0,1,1
20,19,1,NA,0,1,0,0,0,1,1
21,20,1,NA,0,1,0,0,0,1,1
22,21,1,NA,0,1,0,0,0,1,1
23,22,1,NA,0,1,0,0,0,1,1
24,23,1,NA,0,1,0,0,0,1,1
25,24,1,NA,0,1,0,0,0,1,1
26,25,1,NA,0,1,0,0,0,1,1
27,26,1,NA,0,1,0,0,0,1,1
28,27,1,NA,0,1,0,0,0,1,1
29,28,1,NA,0,1,0,0,0,1,1
30,29,1,NA,0,1,0,0,0,1,1
31,30,1,NA,0,1,0,0,0,1,1
32,31,1,NA,0,1,0,0,0,1,1
33,32,1,NA,0,1,0,0,0,1,1
34,33,1,NA,0,1,0,0,0,1,1
35,34,1,NA,0,1,0,0,0,1,1
36,35,1,NA,0,1,0,0,0,1,1
37,36,1,NA,0,1,0,0,0,1,1
38,37,1,NA,0,1,0,0,0,1,1
39,38,1,NA,0,1,0,0,0,1,1
40,39,1,NA,0,1,0,0,0,1,1
41,40,1,NA,0,1,0,0,0,1,1
42,41,1,NA,0,1,0,0,0,1,1
43,42,1,NA,0,1,0,0,0,1,1
44,43,1,NA,0,1,2,0,0,1,1
45,31,2,NA,0,1,0,0,0,0,8
46,16,2,NA,0,1,0,0,0,0,6
47,20,2,NA,0,1,0,0,0,0,6
48,22,2,NA,0,1,0,0,0,0,7
49,15,2,NA,0,1,0,0,0,0,7
50,46,2,NA,0,1,0,0,0,1,4
51,31,2,NA,0,1,0,0,0,0,8
52,35,2,NA,0,1,0,0,0,0,5
53,32,2,NA,0,1,0,0,0,0,5
54,51,2,NA,0,1,0,0,0,1,8
55,20,2,NA,0,1,0,0,0,0,4
56,49,2,NA,0,1,0,0,0,1,6
57,19,2,NA,0,1,0,0,0,0,6
58,55,2,NA,0,1,0,0,0,1,8
59,24,2,NA,0,1,0,0,0,0,7
60,27,2,NA,0,1,0,0,0,0,5
61,23,2,NA,0,1,0,0,0,0,6
62,17,2,NA,0,1,0,0,0,0,8
63,25,2,NA,0,1,0,0,0,0,8
64,41,2,NA,0,1,0,0,0,0,6
65,56,2,NA,0,1,0,0,0,1,4
66,31,2,NA,0,1,0,0,0,0,6
67,35,2,NA,0,1,0,0,0,0,6
68,25,2,NA,0,1,0,0,0,0,4
69,29,2,NA,0,1,0,0,0,0,6
70,56,3,NA,0,1,0,0,0,0,8
71,25,2,NA,0,1,0,0,0,0,4
72,15,2,NA,0,1,0,0,0,0,7
73,15,2,NA,0,1,0,0,0,0,8
74,26,2,NA,0,1,0,0,0,0,7
75,57,2,NA,0,1,0,0,0,1,6
76,63,2,NA,0,1,0,0,0,1,6
77,68,2,NA,0,1,0,0,0,1,4
78,34,2,NA,0,1,0,0,0,0,4
79,73,2,NA,0,1,0,0,0,1,7
80,24,2,NA,0,1,0,0,0,0,5
81,61,3,NA,0,1,0,0,0,0,7
82,29,2,NA,0,1,0,0,0,0,5
83,50,3,NA,0,1,0,0,0,0,7
84,19,2,NA,0,1,0,0,0,0,6
85,73,3,NA,0,1,0,0,0,0,6
86,31,2,NA,0,1,0,0,0,0,8
87,57,3,NA,0,1,0,0,0,0,4
88,67,2,NA,0,1,0,0,0,1,5
89,53,3,NA,0,1,0,0,0,0,7
90,49,3,NA,0,1,0,0,0,0,7
91,17,2,NA,0,1,0,0,0,0,4
92,21,2,NA,0,1,0,0,0,0,6
93,90,3,NA,0,1,0,0,0,1,6
94,73,3,NA,0,1,0,0,0,0,6
95,49,3,NA,0,1,0,0,0,0,5
96,30,2,NA,0,1,0,0,0,0,7
97,90,4,NA,0,1,0,0,0,0,5
98,84,2,NA,0,1,0,0,0,1,7
99,17,2,NA,0,1,0,0,0,0,8
100,87,3,NA,0,1,0,0,0,1,4
101,30,2,NA,0,1,0,0,0,0,4
102,76,2,NA,0,1,0,0,0,1,6
103,38,2,NA,0,1,0,0,0,0,5
104,86,3,NA,0,1,0,0,0,0,5
105,74,2,NA,0,1,0,0,0,1,4
106,82,2,NA,0,1,0,0,0,1,7
107,64,2,NA,0,1,0,0,0,1,4
108,82,3,NA,0,1,0,0,0,0,4
109,107,2,NA,0,1,0,0,0,1,4
110,79,2,NA,0,1,0,0,0,1,5
111,51,3,NA,0,1,0,0,0,0,7
112,29,2,NA,0,1,0,0,0,0,5
113,102,2,NA,0,1,0,0,0,1,5
114,19,2,NA,0,1,0,0,0,0,6
115,98,3,NA,0,1,0,0,0,0,7
116,23,2,NA,0,1,0,0,0,0,4
117,82,3,NA,0,1,0,0,0,0,4
118,41,2,NA,0,1,0,0,0,0,7
119,64,3,NA,0,1,0,0,0,0,8
120,79,3,NA,0,1,0,0,0,0,5
121,64,3,NA,0,1,0,0,0,0,4
122,115,3,NA,0,1,0,0,0,1,8
123,110,2,NA,0,1,0,0,0,1,6
124,119,3,NA,0,1,0,0,0,1,4
125,112,2,NA,0,1,0,0,0,1,4
126,73,3,NA,0,1,0,0,0,0,4
127,103,2,NA,0,1,0,0,0,1,7
128,35,2,NA,0,1,0,0,0,0,8
129,124,3,NA,0,1,0,0,0,1,5
130,86,2,NA,0,1,0,0,0,1,8
131,18,2,NA,0,1,0,0,0,0,5
132,61,3,NA,0,1,0,0,0,0,8
133,103,3,NA,0,1,0,0,0,0,4
134,107,3,NA,0,1,0,0,0,0,5
135,113,2,NA,0,1,0,0,0,1,8
136,92,2,NA,0,1,0,0,0,1,4
137,54,2,NA,0,1,0,0,0,1,6
138,71,2,NA,0,1,0,0,0,1,5
139,39,2,NA,0,1,0,0,0,0,6
140,45,2,NA,0,1,0,0,0,1,7
141,53,2,NA,0,1,0,0,0,1,8
142,128,2,NA,0,1,0,0,0,1,4
143,28,2,NA,0,1,0,0,0,0,4
144,92,3,NA,0,1,0,0,0,0,4
145,134,3,NA,0,1,0,0,0,1,6
146,132,3,NA,0,1,0,0,0,1,4
147,102,3,NA,0,1,0,0,0,0,7
148,69,2,NA,0,1,0,0,0,1,5
149,121,3,NA,0,1,0,0,0,1,4
150,74,3,NA,0,1,0,0,0,0,8
151,78,3,NA,0,1,0,0,0,0,5
152,133,3,NA,0,1,0,0,0,1,4
153,48,2,NA,0,1,0,0,0,1,4
154,83,3,NA,0,1,0,0,0,1,6
155,137,2,NA,0,1,0,0,0,1,5
156,136,2,NA,0,1,0,0,0,1,5
157,125,2,NA,0,1,0,0,0,1,5
158,79,3,NA,0,1,0,0,0,0,6
159,84,3,NA,0,1,0,0,0,0,7
160,138,2,NA,0,1,0,0,0,1,6
161,35,2,NA,0,1,0,0,0,0,6
162,122,3,NA,0,1,0,0,0,1,7
163,78,2,NA,0,1,0,0,0,1,6
164,127,2,NA,0,1,0,0,0,1,7
165,157,2,NA,0,1,0,0,0,1,8
166,97,5,NA,0,1,0,0,0,0,4
167,87,4,NA,0,1,0,0,0,0,6
168,130,2,NA,0,1,0,0,0,1,6
169,132,4,NA,0,1,0,0,0,0,7
170,61,3,NA,0,1,0,0,0,0,5
171,78,3,NA,0,1,0,0,0,0,5
172,161,2,NA,0,1,0,0,0,1,7
173,152,4,NA,0,1,0,0,0,0,6
174,64,3,NA,0,1,0,0,0,0,8
175,110,3,NA,0,1,0,0,0,0,4
176,170,3,NA,0,1,0,0,0,1,5
177,62,2,NA,0,1,0,0,0,1,5
