Numero de la station;Nom de la station;Jour;Heure;tm;glot;um
OLMOS001;Olmos Cretaceous;01-01-2002 00:00:00;1;20.4;0.0;73.0
OLMOS001;Olmos Cretaceous;01-01-2002 01:00:00;2;21.6;3.0;69.1
OLMOS001;Olmos Cretaceous;01-01-2002 02:00:00;3;16.4;30.0;74.0
OLMOS001;Olmos Cretaceous;01-01-2002 03:00:00;4;20.0;0.0;75.7
OLMOS001;Olmos Cretaceous;01-01-2002 04:00:00;5;18.0;0.0;76.5
OLMOS001;Olmos Cretaceous;01-01-2002 05:00:00;6;16.7;0.0;94.6
OLMOS001;Olmos Cretaceous;01-01-2002 06:00:00;7;15.0;29.0;91.4
OLMOS001;Olmos Cretaceous;01-01-2002 07:00:00;8;15.0;621.0;92.7
OLMOS001;Olmos Cretaceous;01-01-2002 08:00:00;9;15.7;1365.0;82.3
OLMOS001;Olmos Cretaceous;01-01-2002 09:00:00;10;15.0;1743.0;87.5
OLMOS001;Olmos Cretaceous;01-01-2002 10:00:00;11;15.6;2125.0;78.0
OLMOS001;Olmos Cretaceous;01-01-2002 11:00:00;12;15.0;2529.0;84.4
OLMOS001;Olmos Cretaceous;01-01-2002 12:00:00;13;16.6;2546.0;84.6
OLMOS001;Olmos Cretaceous;01-01-2002 13:00:00;14;18.3;2312.0;81.2
OLMOS001;Olmos Cretaceous;01-01-2002 14:00:00;15;20.9;1900.0;83.3
OLMOS001;Olmos Cretaceous;01-01-2002 15:00:00;16;21.5;1558.0;79.7
OLMOS001;Olmos Cretaceous;01-01-2002 16:00:00;17;21.9;1159.0;72.7
OLMOS001;Olmos Cretaceous;01-01-2002 17:00:00;18;25.9;661.0;73.9
OLMOS001;Olmos Cretaceous;01-01-2002 18:00:00;19;23.6;40.0;71.3
OLMOS001;Olmos Cretaceous;01-01-2002 19:00:00;20;24.1;8.0;65.3
OLMOS001;Olmos Cretaceous;01-01-2002 20:00:00;21;21.9;0.0;68.6
OLMOS001;Olmos Cretaceous;01-01-2002 21:00:00;22;24.5;0.0;67.1
OLMOS001;Olmos Cretaceous;01-01-2002 22:00:00;23;21.3;79.0;72.0
OLMOS001;Olmos Cretaceous;01-01-2002 23:00:00;24;21.5;10.0;74.3
OLMOS001;Olmos Cretaceous;02-01-2002 00:00:00;1;21.9;0.0;75.3
OLMOS001;Olmos Cretaceous;02-01-2002 01:00:00;2;21.1;0.0;74.4
OLMOS001;Olmos Cretaceous;02-01-2002 02:00:00;3;21.9;10.0;78.1
OLMOS001;Olmos Cretaceous;02-01-2002 03:00:00;4;18.0;12.0;87.7
OLMOS001;Olmos Cretaceous;02-01-2002 04:00:00;5;15.0;0.0;88.3
OLMOS001;Olmos Cretaceous;02-01-2002 05:00:00;6;15.9;4.0;89.6
OLMOS001;Olmos Cretaceous;02-01-2002 06:00:00;7;16.0;24.0;83.2
OLMOS001;Olmos Cretaceous;02-01-2002 07:00:00;8;15.0;707.0;84.6
OLMOS001;Olmos Cretaceous;02-01-2002 08:00:00;9;15.0;1203.0;86.7
OLMOS001;Olmos Cretaceous;02-01-2002 09:00:00;10;15.0;1811.0;85.4
OLMOS001;Olmos Cretaceous;02-01-2002 10:00:00;11;15.5;2000.0;80.5
OLMOS001;Olmos Cretaceous;02-01-2002 11:00:00;12;15.7;2161.0;84.6
OLMOS001;Olmos Cretaceous;02-01-2002 12:00:00;13;17.3;2609.0;80.6
OLMOS001;Olmos Cretaceous;02-01-2002 13:00:00;14;16.6;2347.0;78.3
OLMOS001;Olmos Cretaceous;02-01-2002 14:00:00;15;20.6;2057.0;75.8
OLMOS001;Olmos Cretaceous;02-01-2002 15:00:00;16;20.1;1782.0;78.8
OLMOS001;Olmos Cretaceous;02-01-2002 16:00:00;17;22.5;1315.0;72.3
OLMOS001;Olmos Cretaceous;02-01-2002 17:00:00;18;22.1;693.0;64.4
OLMOS001;Olmos Cretaceous;02-01-2002 18:00:00;19;22.5;31.0;70.6
OLMOS001;Olmos Cretaceous;02-01-2002 19:00:00;20;23.5;0.0;71.6
OLMOS001;Olmos Cretaceous;02-01-2002 20:00:00;21;21.3;76.0;69.0
OLMOS001;Olmos Cretaceous;02-01-2002 21:00:00;22;24.2;30.0;60.7
OLMOS001;Olmos Cretaceous;02-01-2002 22:00:00;23;24.2;102.0;70.3
OLMOS001;Olmos Cretaceous;02-01-2002 23:00:00;24;20.3;68.0;74.3
OLMOS001;Olmos Cretaceous;03-01-2002 00:00:00;1;21.2;14.0;72.1
OLMOS001;Olmos Cretaceous;03-01-2002 01:00:00;2;21.4;0.0;77.1
OLMOS001;Olmos Cretaceous;03-01-2002 02:00:00;3;21.8;0.0;75.6
OLMOS001;Olmos Cretaceous;03-01-2002 03:00:00;4;21.3;25.0;83.1
OLMOS001;Olmos Cretaceous;03-01-2002 04:00:00;5;18.6;0.0;79.5
OLMOS001;Olmos Cretaceous;03-01-2002 05:00:00;6;18.6;0.0;86.4
OLMOS001;Olmos Cretaceous;03-01-2002 06:00:00;7;16.2;17.0;85.5
OLMOS001;Olmos Cretaceous;03-01-2002 07:00:00;8;16.2;641.0;75.9
OLMOS001;Olmos Cretaceous;03-01-2002 08:00:00;9;15.4;1274.0;88.3
OLMOS001;Olmos Cretaceous;03-01-2002 09:00:00;10;15.0;1830.0;92.3
OLMOS001;Olmos Cretaceous;03-01-2002 10:00:00;11;17.9;2119.0;79.7
OLMOS001;Olmos Cretaceous;03-01-2002 11:00:00;12;15.0;2199.0;86.8
OLMOS001;Olmos Cretaceous;03-01-2002 12:00:00;13;17.8;2641.0;84.1
OLMOS001;Olmos Cretaceous;03-01-2002 13:00:00;14;20.1;2221.0;82.5
OLMOS001;Olmos Cretaceous;03-01-2002 14:00:00;15;17.9;2110.0;75.2
OLMOS001;Olmos Cretaceous;03-01-2002 15:00:00;16;20.7;1667.0;83.5
OLMOS001;Olmos Cretaceous;03-01-2002 16:00:00;17;21.7;1288.0;85.3
OLMOS001;Olmos Cretaceous;03-01-2002 17:00:00;18;20.1;700.0;74.8
OLMOS001;Olmos Cretaceous;03-01-2002 18:00:00;19;21.1;6.0;83.1
OLMOS001;Olmos Cretaceous;03-01-2002 19:00:00;20;23.8;9.0;64.1
OLMOS001;Olmos Cretaceous;03-01-2002 20:00:00;21;23.0;16.0;76.4
OLMOS001;Olmos Cretaceous;03-01-2002 21:00:00;22;24.4;0.0;67.5
OLMOS001;Olmos Cretaceous;03-01-2002 22:00:00;23;22.6;61.0;68.7
OLMOS001;Olmos Cretaceous;03-01-2002 23:00:00;24;21.3;0.0;75.5
OLMOS001;Olmos Cretaceous;04-01-2002 00:00:00;1;22.5;0.0;77.2
OLMOS001;Olmos Cretaceous;04-01-2002 01:00:00;2;23.0;0.0;83.5
OLMOS001;Olmos Cretaceous;04-01-2002 02:00:00;3;18.4;78.0;86.0
OLMOS001;Olmos Cretaceous;04-01-2002 03:00:00;4;17.2;0.0;87.4
OLMOS001;Olmos Cretaceous;04-01-2002 04:00:00;5;18.5;0.0;82.1
OLMOS001;Olmos Cretaceous;04-01-2002 05:00:00;6;18.6;0.0;83.2
OLMOS001;Olmos Cretaceous;04-01-2002 06:00:00;7;17.9;0.0;81.5
OLMOS001;Olmos Cretaceous;04-01-2002 07:00:00;8;18.2;652.0;82.7
OLMOS001;Olmos Cretaceous;04-01-2002 08:00:00;9;15.0;1142.0;87.4
OLMOS001;Olmos Cretaceous;04-01-2002 09:00:00;10;16.4;1932.0;90.7
OLMOS001;Olmos Cretaceous;04-01-2002 10:00:00;11;19.7;2097.0;82.9
OLMOS001;Olmos Cretaceous;04-01-2002 11:00:00;12;15.0;2307.0;82.5
OLMOS001;Olmos Cretaceous;04-01-2002 12:00:00;13;16.9;2336.0;83.8
OLMOS001;Olmos Cretaceous;04-01-2002 13:00:00;14;20.0;2322.0;87.2
OLMOS001;Olmos Cretaceous;04-01-2002 14:00:00;15;19.7;2625.0;82.2
