id,parent_id,topology__cycle,arch_dev__pot_flowering_date,arch_dev__pot_nb_fruit,topology__ancestor_is_apical,arch_dev_rep__nature,topology__ancestor_nature,arch_dev__nb_inflos,topology__is_apical,topology__appearance_month
0,NA,1,NA,0,NA,0,NA,0,1,NA
1,0,1,NA,0,1,0,0,0,1,1
2,1,1,NA,0,1,0,0,0,1,1
3,2,1,NA,0,1,0,0,0,1,1
4,3,1,NA,0,1,0,0,0,1,1
5,4,1,NA,0,1,0,0,0,1,1
6,5,1,NA,0,1,0,0,0,1,1
7,6,1,NA,0,1,0,0,0,1,1
8,7,1,NA,0,1,0,0,0,1,1
9,8,1,NA,0,1,0,0,0,1,1
10,9,1,NA,0,1,0,0,0,1,1
11,10,1,NA,0,1,0,0,0,1,1
12,11,1,NA,0,1,0,0,0,1,1
13,12,1,NA,0,1,0,0,0,1,1
14,13,1,NA,0,1,0,0,0,1,1
15,14,1,NA,0,1,0,0,0,1,1
16,15,1,NA,0,1,0,0,0,1,1
17,16,1,NA,0,1,0,0,0,1,1
18,17,1,NA,0,1,0,0,0,1,1
19,18,1,NA,0,1,0,0,0,1,1
20,19,1,NA,0,1,0,0,0,1,1
21,20,1,NA,0,1,0,0,0,1,1
22,21,1,NA,0,1,0,0,0,1,1
23,22,1,NA,0,1,0,0,0,1,1
24,23,1,NA,0,1,0,0,0,1,1
25,24,1,NA,0,1,0,0,0,1,1
26,25,1,NA,0,1,0,0,0,1,1
27,26,1,NA,0,1,0,0,0,1,1
28,27,1,NA,0,1,0,0,0,1,1
29,28,1,NA,0,1,0,0,0,1,1
30,29,1,NA,0,1,0,0,0,1,1
31,30,1,NA,0,1,0,0,0,1,1
32,31,1,NA,0,1,0,0,0,1,1
33,32,1,NA,0,1,0,0,0,1,1
34,33,1,NA,0,1,0,0,0,1,1
35,34,1,NA,0,1,0,0,0,1,1
36,35,1,NA,0,1,0,0,0,1,1
37,36,1,NA,0,1,0,0,0,1,1
38,37,1,NA,0,1,0,0,0,1,1
39,38,1,NA,0,1,0,0,0,1,1
40,39,1,NA,0,1,0,0,0,1,1
41,40,1,NA,0,1,0,0,0,1,1
42,41,1,NA,0,1,0,0,0,1,1
43,42,1,NA,0,1,0,0,0,1,1
44,43,1,NA,0,1,2,0,0,1,1
45,33,2,NA,0,1,0,0,0,0,11
46,13,2,NA,0,1,0,0,0,0,4
47,19,2,NA,0,1,0,0,0,0,9
48,37,2,NA,2,1,2,0,0,0,10
49,4,2,NA,0,1,0,0,0,0,1
50,7,2,NA,0,1,0,0,0,0,1
51,39,2,NA,2,1,2,0,0,0,1
52,32,2,NA,0,1,0,0,0,0,1
53,8,2,NA,0,1,0,0,0,0,9
54,34,2,NA,0,1,0,0,0,0,3
55,21,2,NA,0,1,0,0,0,0,1
56,30,2,NA,0,1,0,0,0,0,8
57,41,2,NA,2,1,2,0,0,0,10
58,42,2,NA,3,1,2,0,0,0,8
59,11,2,NA,0,1,0,0,0,0,9
60,47,2,NA,0,1,0,0,0,0,5
61,19,2,NA,0,1,0,0,0,0,4
62,16,2,NA,0,1,0,0,0,0,9
63,61,2,NA,0,1,0,0,0,0,8
64,18,2,NA,0,1,0,0,0,0,3
65,38,2,NA,3,1,2,0,0,0,10
66,54,2,NA,2,1,2,0,0,1,6
67,55,2,NA,0,1,0,0,0,0,5
68,34,2,NA,0,1,0,0,0,0,5
69,45,2,NA,2,1,2,0,0,1,1
70,25,2,NA,0,1,0,0,0,0,1
71,13,2,NA,0,1,0,0,0,0,5
72,66,2,NA,1,1,2,0,0,0,5
73,41,2,NA,1,1,2,0,0,0,11
74,3,2,NA,0,1,0,0,0,0,10
75,22,2,NA,0,1,0,0,0,0,2
76,19,2,NA,0,1,0,0,0,0,10
77,36,2,NA,2,1,2,0,0,0,7
78,63,2,NA,0,1,0,0,0,0,6
79,52,2,NA,1,1,2,0,0,1,8
80,67,2,NA,0,1,0,0,0,1,9
81,20,2,NA,0,1,0,0,0,0,8
82,56,2,NA,0,1,0,0,0,0,10
83,4,2,NA,0,1,0,0,0,0,4
84,8,2,NA,0,1,0,0,0,0,7
85,75,2,NA,0,1,0,0,0,1,11
86,37,2,NA,2,1,2,0,0,0,7
87,4,2,NA,0,1,0,0,0,0,4
88,10,2,NA,0,1,0,0,0,0,1
89,5,2,NA,0,1,0,0,0,0,8
90,82,2,NA,3,1,2,0,0,1,2
91,83,2,NA,0,1,0,0,0,0,3
92,32,2,NA,0,1,0,0,0,0,2
93,69,2,NA,3,1,2,0,0,0,2
94,56,2,NA,0,1,0,0,0,0,4
95,83,2,NA,0,1,0,0,0,1,4
96,19,2,NA,0,1,0,0,0,0,3
97,63,2,NA,0,1,0,0,0,1,9
98,86,2,NA,3,1,2,0,0,1,7
99,66,2,NA,3,1,2,0,0,0,5
100,78,2,NA,0,1,0,0,0,1,5
101,59,2,NA,0,1,0,0,0,1,8
102,59,2,NA,0,1,0,0,0,0,2
103,31,2,NA,0,1,0,0,0,0,11
104,102,2,NA,0,1,0,0,0,1,10
105,10,2,NA,0,1,0,0,0,0,8
106,52,2,NA,3,1,2,0,0,0,11
107,31,2,NA,0,1,0,0,0,0,4
108,51,2,NA,3,1,2,0,0,1,11
109,31,2,NA,0,1,0,0,0,0,1
110,21,2,NA,0,1,0,0,0,0,3
111,26,2,NA,0,1,0,0,0,0,1
112,86,2,NA,3,1,2,0,0,0,10
113,61,2,NA,0,1,0,0,0,1,6
114,49,2,NA,0,1,0,0,0,0,10
115,45,2,NA,3,1,2,0,0,0,1
116,41,2,NA,1,1,2,0,0,0,11
117,90,2,NA,3,1,2,0,0,1,2
118,88,2,NA,0,1,0,0,0,1,1
119,107,2,NA,1,1,2,0,0,0,7
120,15,2,NA,0,1,0,0,0,0,9
121,55,2,NA,0,1,0,0,0,1,8
122,31,2,NA,0,1,0,0,0,0,4
123,65,2,NA,1,1,2,0,0,0,6
124,18,2,NA,0,1,0,0,0,0,9
125,122,2,NA,1,1,2,0,0,1,6
126,30,2,NA,0,1,0,0,0,0,9
127,69,2,NA,1,1,2,0,0,1,1
128,89,2,NA,0,1,0,0,0,0,8
129,52,2,NA,2,1,2,0,0,0,1
130,17,2,NA,0,1,0,0,0,0,4
131,107,2,NA,1,1,2,0,0,1,7
132,8,2,NA,0,1,0,0,0,0,7
133,70,2,NA,0,1,0,0,0,0,9
134,86,2,NA,3,1,2,0,0,0,10
135,8,2,NA,0,1,0,0,0,0,11
136,122,2,NA,2,1,2,0,0,0,6
137,83,2,NA,0,1,0,0,0,0,7
138,65,2,NA,1,1,2,0,0,0,4
139,62,2,NA,0,1,0,0,0,1,3
140,61,2,NA,0,1,0,0,0,0,9
141,113,2,NA,0,1,0,0,0,0,7
142,45,2,NA,1,1,2,0,0,0,1
143,26,2,NA,0,1,0,0,0,0,1
144,59,2,NA,0,1,0,0,0,0,1
145,7,2,NA,0,1,0,0,0,0,7
146,91,2,NA,0,1,0,0,0,0,11
147,54,2,NA,3,1,2,0,0,0,1
148,88,2,NA,0,1,0,0,0,0,6
149,48,2,NA,2,1,2,0,0,0,5
150,142,2,NA,2,1,2,0,0,0,5
151,126,2,NA,0,1,0,0,0,1,1
152,82,2,NA,3,1,2,0,0,0,7
153,151,2,NA,3,1,2,0,0,0,9
154,35,2,NA,1,1,2,0,0,0,8
155,8,2,NA,0,1,0,0,0,0,6
156,146,2,NA,0,1,0,0,0,1,10
157,21,2,NA,0,1,0,0,0,0,5
158,41,2,NA,1,1,2,0,0,0,2
159,97,2,NA,0,1,0,0,0,1,11
160,17,2,NA,0,1,0,0,0,0,11
161,124,2,NA,0,1,0,0,0,1,3
162,135,2,NA,0,1,0,0,0,1,9
163,36,2,NA,2,1,2,0,0,0,9
164,146,2,NA,0,1,0,0,0,0,9
165,129,2,NA,1,1,2,0,0,1,11
166,50,2,NA,0,1,0,0,0,1,5
167,129,2,NA,1,1,2,0,0,0,6
168,100,2,NA,1,1,2,0,0,1,6
169,143,2,NA,0,1,0,0,0,1,2
170,94,2,NA,3,1,2,0,0,1,10
171,142,2,NA,1,1,2,0,0,1,7
172,167,2,NA,1,1,2,0,0,0,1
173,47,2,NA,0,1,0,0,0,1,11
174,154,2,NA,2,1,2,0,0,0,7
175,166,2,NA,0,1,0,0,0,0,8
176,141,2,NA,0,1,0,0,0,0,2
177,162,2,NA,0,1,0,0,0,0,11
