id,parent_id,topology__cycle,arch_dev__pot_flowering_date,arch_dev__pot_nb_fruit,topology__ancestor_is_apical,arch_dev_rep__nature,topology__ancestor_nature,arch_dev__nb_inflos,topology__is_apical,topology__appearance_month
0,NA,1,NA,0,NA,0,NA,0,1,NA
1,0,1,NA,0,1,0,0,0,1,1
2,1,1,NA,0,1,0,0,0,1,1
3,2,1,NA,0,1,0,0,0,1,1
4,3,1,NA,0,1,0,0,0,1,1
5,4,1,NA,0,1,0,0,0,1,1
6,5,1,NA,0,1,0,0,0,1,1
7,6,1,NA,0,1,0,0,0,1,1
8,7,1,NA,0,1,0,0,0,1,1
9,8,1,NA,0,1,0,0,0,1,1
10,9,1,NA,0,1,0,0,0,1,1
11,10,1,NA,0,1,0,0,0,1,1
12,11,1,NA,0,1,0,0,0,1,1
13,12,1,NA,0,1,0,0,0,1,1
14,13,1,NA,0,1,0,0,0,1,1
15,14,1,NA,0,1,0,0,0,1,1
16,15,1,NA,0,1,0,0,0,1,1
17,16,1,NA,0,1,0,0,0,1,1
18,17,1,NA,0,1,0,0,0,1,1
19,18,1,NA,0,1,0,0,0,1,1
20,19,1,NA,0,1,0,0,0,1,1
21,20,1,NA,0,1,0,0,0,1,1
22,21,1,NA,0,1,0,0,0,1,1
23,22,1,NA,0,1,0,0,0,1,1
24,23,1,NA,0,1,0,0,0,1,1
25,24,1,NA,0,1,0,0,0,1,1
26,25,1,NA,0,1,0,0,0,1,1
27,26,1,NA,0,1,0,0,0,1,1
28,27,1,NA,0,1,0,0,0,1,1
29,28,1,NA,0,1,0,0,0,1,1
30,29,1,NA,0,1,0,0,0,1,1
31,30,1,NA,0,1,0,0,0,1,1
32,31,1,NA,0,1,0,0,0,1,1
33,32,1,NA,0,1,0,0,0,1,1
34,33,1,NA,0,1,0,0,0,1,1
35,34,1,NA,0,1,0,0,0,1,1
36,35,1,NA,0,1,0,0,0,1,1
37,36,1,NA,0,1,0,0,0,1,1
38,37,1,NA,0,1,0,0,0,1,1
39,38,1,NA,0,1,0,0,0,1,1
40,39,1,NA,0,1,0,0,0,1,1
41,40,1,NA,0,1,0,0,0,1,1
42,41,1,NA,0,1,0,0,0,1,1
43,42,1,NA,0,1,0,0,0,1,1
44,43,1,NA,0,1,2,0,0,1,1
45,31,2,NA,0,1,0,0,0,0,6
46,15,2,NA,0,1,0,0,0,0,6
47,33,2,NA,0,1,0,0,0,0,6
48,27,2,NA,0,1,0,0,0,0,4
49,20,2,NA,0,1,0,0,0,0,4
50,49,2,NA,0,1,0,0,0,1,7
51,21,2,NA,0,1,0,0,0,0,8
52,47,2,NA,0,1,0,0,0,0,7
53,51,2,NA,0,1,0,0,0,0,8
54,24,2,NA,0,1,0,0,0,0,8
55,18,2,NA,0,1,0,0,0,0,5
56,21,2,NA,0,1,0,0,0,0,7
57,39,2,NA,0,1,0,0,0,0,8
58,50,2,NA,0,1,0,0,0,0,6
59,46,2,NA,0,1,0,0,0,1,4
60,37,2,NA,0,1,0,0,0,0,5
61,58,2,NA,0,1,0,0,0,0,6
62,53,2,NA,0,1,0,0,0,0,8
63,31,2,NA,0,1,0,0,0,0,7
64,36,2,NA,0,1,0,0,0,0,6
65,48,2,NA,0,1,0,0,0,0,7
66,60,2,NA,0,1,0,0,0,0,7
67,15,2,NA,0,1,0,0,0,0,7
68,52,2,NA,0,1,0,0,0,0,4
69,45,2,NA,0,1,0,0,0,1,7
70,36,2,NA,0,1,0,0,0,0,4
71,49,2,NA,0,1,0,0,0,0,6
72,17,2,NA,0,1,0,0,0,0,8
73,46,2,NA,0,1,0,0,0,0,4
74,66,2,NA,0,1,0,0,0,0,5
75,19,2,NA,0,1,0,0,0,0,5
76,16,2,NA,0,1,0,0,0,0,7
77,28,2,NA,0,1,0,0,0,0,8
78,19,2,NA,0,1,0,0,0,0,6
79,25,2,NA,0,1,0,0,0,0,8
80,26,2,NA,0,1,0,0,0,0,7
81,65,2,NA,0,1,0,0,0,0,5
82,75,2,NA,0,1,0,0,0,0,7
83,22,2,NA,0,1,0,0,0,0,6
84,15,2,NA,0,1,0,0,0,0,8
85,37,2,NA,0,1,0,0,0,0,7
86,61,2,NA,0,1,0,0,0,0,5
87,24,2,NA,0,1,0,0,0,0,4
88,57,2,NA,0,1,0,0,0,0,4
89,75,2,NA,0,1,0,0,0,0,4
90,52,2,NA,0,1,0,0,0,1,4
91,18,2,NA,0,1,0,0,0,0,6
92,75,2,NA,0,1,0,0,0,0,5
93,15,2,NA,0,1,0,0,0,0,7
94,58,2,NA,0,1,0,0,0,1,8
95,66,2,NA,0,1,0,0,0,0,8
96,37,2,NA,0,1,0,0,0,0,5
97,59,2,NA,0,1,0,0,0,0,7
98,67,2,NA,0,1,0,0,0,0,6
99,88,2,NA,0,1,0,0,0,0,5
100,61,2,NA,0,1,0,0,0,1,5
101,35,2,NA,0,1,0,0,0,0,6
102,16,2,NA,0,1,0,0,0,0,6
103,46,2,NA,0,1,0,0,0,0,7
104,42,2,NA,0,1,0,0,0,0,4
105,82,2,NA,0,1,0,0,0,1,8
106,70,2,NA,0,1,0,0,0,0,8
107,102,2,NA,0,1,0,0,0,1,6
108,58,2,NA,0,1,0,0,0,0,7
109,96,2,NA,0,1,0,0,0,0,5
110,64,2,NA,0,1,0,0,0,1,7
111,36,2,NA,0,1,0,0,0,0,5
112,71,2,NA,0,1,0,0,0,1,8
113,52,2,NA,0,1,0,0,0,0,4
114,86,2,NA,0,1,0,0,0,0,6
115,100,2,NA,0,1,0,0,0,0,4
116,74,2,NA,0,1,0,0,0,0,4
117,51,2,NA,0,1,0,0,0,0,8
118,116,2,NA,0,1,0,0,0,0,7
119,102,2,NA,0,1,0,0,0,0,8
120,65,2,NA,0,1,0,0,0,1,7
121,105,2,NA,0,1,0,0,0,1,5
122,115,2,NA,0,1,0,0,0,0,8
123,91,2,NA,0,1,0,0,0,0,7
124,68,2,NA,0,1,0,0,0,0,6
125,39,2,NA,0,1,0,0,0,0,8
126,97,2,NA,0,1,0,0,0,0,5
127,41,2,NA,0,1,0,0,0,0,7
128,39,2,NA,0,1,0,0,0,0,7
129,46,2,NA,0,1,0,0,0,0,4
130,40,2,NA,0,1,0,0,0,0,5
131,97,2,NA,0,1,0,0,0,1,8
132,113,2,NA,0,1,0,0,0,1,7
133,98,2,NA,0,1,0,0,0,0,5
134,29,2,NA,0,1,0,0,0,0,8
135,37,2,NA,0,1,0,0,0,0,7
136,35,2,NA,0,1,0,0,0,0,8
137,37,2,NA,0,1,0,0,0,0,4
138,60,2,NA,0,1,0,0,0,1,8
139,24,2,NA,0,1,0,0,0,0,5
140,64,2,NA,0,1,0,0,0,0,7
141,84,2,NA,0,1,0,0,0,0,5
142,64,2,NA,0,1,0,0,0,0,8
143,54,2,NA,0,1,0,0,0,0,4
144,72,2,NA,0,1,0,0,0,1,8
145,27,2,NA,0,1,0,0,0,0,8
146,100,2,NA,0,1,0,0,0,0,5
147,16,2,NA,0,1,0,0,0,0,4
148,59,2,NA,0,1,0,0,0,0,6
149,21,2,NA,0,1,0,0,0,0,4
150,126,2,NA,0,1,0,0,0,1,5
151,82,2,NA,0,1,0,0,0,0,5
152,16,2,NA,0,1,0,0,0,0,4
153,21,2,NA,0,1,0,0,0,0,8
154,133,2,NA,0,1,0,0,0,0,5
155,105,2,NA,0,1,0,0,0,0,6
156,23,2,NA,0,1,0,0,0,0,5
157,98,2,NA,0,1,0,0,0,0,5
158,69,2,NA,0,1,0,0,0,0,4
159,17,2,NA,0,1,0,0,0,0,8
160,86,2,NA,0,1,0,0,0,0,8
161,117,2,NA,0,1,0,0,0,1,4
162,106,2,NA,0,1,0,0,0,1,8
163,82,2,NA,0,1,0,0,0,0,8
164,20,2,NA,0,1,0,0,0,0,4
165,155,2,NA,0,1,0,0,0,1,6
166,161,2,NA,0,1,0,0,0,1,6
167,128,2,NA,0,1,0,0,0,0,5
168,57,2,NA,0,1,0,0,0,0,8
169,69,2,NA,0,1,0,0,0,0,5
170,95,2,NA,0,1,0,0,0,1,8
171,63,2,NA,0,1,0,0,0,1,6
172,62,2,NA,0,1,0,0,0,1,6
173,145,2,NA,0,1,0,0,0,1,7
174,139,2,NA,0,1,0,0,0,0,8
175,33,2,NA,0,1,0,0,0,0,6
176,37,2,NA,0,1,0,0,0,0,4
177,89,2,NA,0,1,0,0,0,0,7
