id,parent_id,topology__cycle,arch_dev__pot_flowering_date,arch_dev__pot_nb_fruit,topology__ancestor_is_apical,arch_dev_rep__nature,topology__ancestor_nature,arch_dev__nb_inflos,topology__is_apical,topology__appearance_month
0,NA,1,NA,0,NA,0,NA,0,1,NA
1,0,1,NA,0,1,0,0,0,1,1
2,1,1,NA,0,1,0,0,0,1,1
3,2,1,NA,0,1,0,0,0,1,1
4,3,1,NA,0,1,0,0,0,1,1
5,4,1,NA,0,1,0,0,0,1,1
6,5,1,NA,0,1,0,0,0,1,1
7,6,1,NA,0,1,0,0,0,1,1
8,7,1,NA,0,1,0,0,0,1,1
9,8,1,NA,0,1,0,0,0,1,1
10,9,1,NA,0,1,0,0,0,1,1
11,10,1,NA,0,1,0,0,0,1,1
12,11,1,NA,0,1,0,0,0,1,1
13,12,1,NA,0,1,0,0,0,1,1
14,13,1,NA,0,1,0,0,0,1,1
15,14,1,NA,0,1,0,0,0,1,1
16,15,1,NA,0,1,0,0,0,1,1
17,16,1,NA,0,1,0,0,0,1,1
18,17,1,NA,0,1,0,0,0,1,1
19,18,1,NA,0,1,0,0,0,1,1
20,19,1,NA,0,1,0,0,0,1,1
21,20,1,NA,0,1,0,0,0,1,1
22,21,1,NA,0,1,0,0,0,1,1
23,22,1,NA,0,1,0,0,0,1,1
24,23,1,NA,0,1,0,0,0,1,1
25,24,1,NA,0,1,0,0,0,1,1
26,25,1,NA,0,1,0,0,0,1,1
27,26,1,NA,0,1,0,0,0,1,1
28,27,1,NA,0,1,0,0,0,1,1
29,28,1,NA,0,1,0,0,0,1,1
30,21,2,NA,0,1,0,0,0,0,9
31,11,2,NA,0,1,0,0,0,0,7
32,30,2,NA,0,1,0,0,0,1,5
33,25,2,NA,0,1,0,0,0,0,4
34,18,2,NA,0,1,0,0,0,0,3
35,24,2,NA,0,1,0,0,0,0,3
36,25,2,NA,0,1,0,0,0,0,8
37,13,2,NA,0,1,0,0,0,0,9
38,23,2,NA,0,1,0,0,0,0,9
39,17,2,NA,0,1,0,0,0,0,2
40,12,2,NA,0,1,0,0,0,0,5
41,18,2,NA,0,1,0,0,0,0,11
42,34,2,NA,0,1,0,0,0,1,1
43,40,2,NA,0,1,0,0,0,1,2
44,29,2,NA,0,1,0,0,0,0,7
45,33,2,NA,0,1,0,0,0,1,2
46,31,2,NA,0,1,0,0,0,1,4
47,32,3,NA,0,1,0,0,0,0,4
48,46,3,NA,0,1,0,0,0,0,2
49,30,3,NA,0,1,0,0,0,0,2
50,25,2,NA,0,1,0,0,0,0,4
51,18,2,NA,1,1,2,0,0,0,10
52,47,3,NA,0,1,0,0,0,1,2
53,25,2,NA,0,1,0,0,0,0,9
54,39,3,NA,1,1,2,0,0,0,6
55,50,2,NA,0,1,0,0,0,1,1
56,24,2,NA,0,1,0,0,0,0,4
57,12,2,NA,0,1,0,0,0,0,1
58,44,3,NA,0,1,0,0,0,0,10
59,32,3,NA,0,1,0,0,0,0,6
60,18,2,NA,0,1,0,0,0,0,5
61,33,3,NA,0,1,0,0,0,0,1
62,28,2,NA,0,1,0,0,0,0,6
63,21,2,NA,2,1,2,0,0,0,11
64,42,3,NA,0,1,0,0,0,0,9
65,23,2,NA,0,1,0,0,0,0,1
66,24,2,NA,0,1,0,0,0,0,5
67,20,2,NA,1,1,2,0,0,0,6
68,43,2,NA,0,1,0,0,0,1,2
69,59,3,NA,0,1,0,0,0,1,8
70,17,2,NA,2,1,2,0,0,0,7
71,53,2,NA,0,1,0,0,0,1,10
72,14,2,NA,0,1,0,0,0,0,10
73,69,3,NA,0,1,0,0,0,1,9
74,72,3,NA,0,1,0,0,0,0,3
75,68,2,NA,0,1,0,0,0,1,11
76,45,2,NA,0,1,0,0,0,1,6
77,17,2,NA,0,1,0,0,0,0,2
78,47,4,NA,0,1,0,0,0,0,5
79,23,2,NA,0,1,0,0,0,0,9
80,54,3,NA,0,1,0,0,0,1,7
81,51,2,NA,0,1,0,0,0,1,1
82,19,2,NA,0,1,0,0,0,0,6
83,37,2,NA,0,1,0,0,0,1,1
84,24,2,NA,0,1,0,0,0,0,3
85,33,3,NA,0,1,0,0,0,0,5
86,42,2,NA,0,1,0,0,0,1,4
87,50,3,NA,0,1,0,0,0,0,9
88,23,2,NA,0,1,0,0,0,0,5
89,75,3,NA,0,1,0,0,0,0,8
90,66,2,NA,0,1,0,0,0,1,9
91,69,4,NA,0,1,0,0,0,0,5
92,70,3,NA,0,1,0,0,0,0,9
93,29,1,NA,0,1,0,0,0,1,8
94,27,2,NA,0,1,0,0,0,0,8
95,20,2,NA,0,1,0,0,0,0,8
96,66,3,NA,0,1,0,0,0,0,11
97,15,2,NA,0,1,0,0,0,0,1
98,16,2,NA,0,1,0,0,0,0,6
99,93,2,NA,0,1,0,0,0,0,5
100,38,2,NA,0,1,0,0,0,1,1
101,22,2,NA,0,1,0,0,0,0,7
102,85,3,NA,0,1,0,0,0,1,2
103,92,4,NA,0,1,0,0,0,0,10
104,35,2,NA,0,1,0,0,0,1,6
105,100,2,NA,0,1,0,0,0,1,11
106,31,3,NA,0,1,0,0,0,0,8
107,71,3,NA,0,1,0,0,0,0,9
108,61,3,NA,0,1,0,0,0,1,10
109,64,4,NA,0,1,0,0,0,0,11
110,35,3,NA,0,1,0,0,0,0,11
111,31,3,NA,0,1,0,0,0,0,8
112,31,3,NA,0,1,0,0,0,0,10
113,107,3,NA,0,1,0,0,0,1,2
114,43,3,NA,0,1,0,0,0,0,1
115,62,2,NA,0,1,0,0,0,1,5
116,61,4,NA,0,1,0,0,0,0,5
117,11,2,NA,0,1,0,0,0,0,10
118,95,2,NA,0,1,0,0,0,1,6
119,78,4,NA,0,1,0,0,0,1,3
120,81,3,NA,0,1,0,0,0,0,1
121,20,2,NA,0,1,0,0,0,0,10
122,47,4,NA,0,1,0,0,0,0,3
123,112,3,NA,0,1,0,0,0,1,7
124,43,3,NA,0,1,0,0,0,0,5
125,56,3,NA,0,1,0,0,0,0,1
126,73,3,NA,0,1,0,0,0,1,7
127,15,2,NA,0,1,0,0,0,0,10
128,96,4,NA,2,1,2,0,0,0,8
129,68,3,NA,1,1,2,0,0,0,7
130,39,2,NA,0,1,0,0,0,1,3
131,119,4,NA,0,1,0,0,0,1,7
132,60,2,NA,0,1,0,0,0,1,5
133,107,4,NA,0,1,0,0,0,0,11
134,60,3,NA,0,1,0,0,0,0,6
135,95,3,NA,0,1,0,0,0,0,8
136,44,2,NA,0,1,0,0,0,1,8
137,115,3,NA,2,1,2,0,0,0,5
138,73,4,NA,2,1,2,0,0,0,8
139,53,3,NA,0,1,0,0,0,0,4
140,79,2,NA,0,1,0,0,0,1,8
141,125,4,NA,0,1,0,0,0,0,5
142,15,2,NA,0,1,0,0,0,0,9
143,40,3,NA,0,1,0,0,0,0,4
144,135,4,NA,0,1,0,0,0,0,11
145,129,4,NA,0,1,0,0,0,0,5
146,125,4,NA,0,1,0,0,0,0,4
147,25,2,NA,0,1,0,0,0,0,9
148,81,3,NA,0,1,0,0,0,0,1
149,52,3,NA,0,1,0,0,0,1,4
150,95,3,NA,0,1,0,0,0,0,4
151,127,3,NA,0,1,0,0,0,0,1
152,76,2,NA,0,1,0,0,0,1,6
153,107,4,NA,0,1,0,0,0,0,7
154,94,2,NA,0,1,0,0,0,1,3
155,108,4,NA,0,1,0,0,0,0,8
156,82,3,NA,0,1,0,0,0,0,10
157,13,2,NA,0,1,0,0,0,0,9
158,117,3,NA,0,1,0,0,0,0,2
159,107,4,NA,0,1,0,0,0,0,6
160,97,2,NA,0,1,0,0,0,1,6
161,120,3,NA,0,1,0,0,0,1,4
162,149,4,NA,0,1,0,0,0,0,6
163,60,3,NA,0,1,0,0,0,0,10
164,48,4,NA,0,1,0,0,0,0,11
165,135,3,NA,0,1,0,0,0,1,4
166,160,2,NA,0,1,0,0,0,1,10
167,129,3,NA,0,1,0,0,0,1,11
168,141,5,NA,0,1,0,0,0,0,2
169,138,5,NA,0,1,0,0,0,0,7
170,50,3,NA,0,1,0,0,0,0,5
171,159,4,NA,0,1,0,0,0,1,2
172,81,3,NA,0,1,0,0,0,0,2
173,66,3,NA,1,1,2,0,0,0,6
174,167,4,NA,0,1,0,0,0,0,2
175,149,3,NA,0,1,0,0,0,1,7
176,130,2,NA,0,1,0,0,0,1,11
177,165,3,NA,0,1,0,0,0,1,3
